x,Per1,x,Bmals,x,Per2,x,Cry1,x,Npas2,x,Rev-erbs
0.0474,0.61558,0.051,0.66342,0.1416,0.3077,0,0.37795,0,0.9685,0.0369,0.60039
4.0768,0.99806,4.0439,0.57098,4.0418,0.70053,4.0496,0.60367,4.1322,0.55616,4.0215,1
8.0727,0.94502,8.0456,0.59317,8.0436,0.87852,8.0165,0.82152,8.0992,0.47453,7.9857,0.567251
12.0437,0.56838,12.1473,0.91537,11.9776,0.86817,11.9835,0.99738,12.0661,0.62126,11.9854,0.211501
16.0301,0.39124,16.2305,0.99611,16.0413,0.3061,16.0331,0.69816,16.1157,0.83096,16.012,0.295322
20.026,0.3382,20.1459,0.89635,20.0663,0.20823,20,0.52493,20.0826,0.8202,19.9765,0.366472
24.0476,0.6185,24.1264,0.64293,24.0705,0.35703,24.0496,0.4357,24.0496,0.9958,24.0382,0.522417
28.074,0.96205,28.1253,0.62854,27.9712,0.74456,28.0165,0.61155,28.0992,0.69107,27.9929,0.933723
31.9917,0.89197,32.203,0.63855,31.9666,0.99947,32.0661,0.89501,32.1488,0.55957,31.9555,0.474659
36.0389,0.5056,36.1529,0.98757,35.9231,0.71856,36.1157,0.93176,36.0331,0.56719,35.9634,0.253411
40.0301,0.39173,40.1484,0.92928,39.9765,0.28117,40.0826,0.70079,40.0826,0.98687,39.9852,0.258285
44.1045,0.35816,44.1475,0.91733,43.999,0.21247,43.9669,0.49081,44.0496,0.99973,43.9888,0.466862
